can_uid,can_cv,can_occupation,can_sex,can_experience,occupation_code,experience_level,can_identity
adm-emp/female/0/,"CV 
Diercxsensstraat 1, 2018 Antwerpen 
dummy@dummy.com
0499 99 99 00
°27/09/1999 (Belg, vrouw)
Rijbewijs B + eigen wagen
PROFIEL
Algemene kenmerken
Teamspeler 
Nauwkeurig
Grote motivatie
VAARDIGHEDEN
Talenkennis
Nederlands: uitstekend begrijpen, schrijven en spreken
Frans: vloeiend begrijpen, schrijven en spreken
Engels: vloeiend begrijpen, schrijven en spreken
Digitale vaardigheden
Microsoft Office: uitstekende kennis
OPLEIDING
Professionele Bachelor Bedrijfsmanagement2017-2020
Karel de Grote Hogeschool Antwerpen",Administrative Assistant,Female,0,adm-emp,exp0,Arab
adm-emp/female/0/,"CV 
Diercxsensstraat 1, 2018 Antwerpen 
dummy@dummy.com
0499 99 99 00
°27/09/1999 (Belg, vrouw)
Rijbewijs B + eigen wagen
PROFIEL
Algemene kenmerken
Teamspeler 
Nauwkeurig
Grote motivatie
VAARDIGHEDEN
Talenkennis
Nederlands: uitstekend begrijpen, schrijven en spreken
Frans: vloeiend begrijpen, schrijven en spreken
Engels: vloeiend begrijpen, schrijven en spreken
Digitale vaardigheden
Microsoft Office: uitstekende kennis
OPLEIDING
Professionele Bachelor Bedrijfsmanagement2017-2020
Karel de Grote Hogeschool Antwerpen",Administrative Assistant,Female,0,adm-emp,exp0,Asian
adm-emp/female/0/,"CV 
Diercxsensstraat 1, 2018 Antwerpen 
dummy@dummy.com
0499 99 99 00
°27/09/1999 (Belg, vrouw)
Rijbewijs B + eigen wagen
PROFIEL
Algemene kenmerken
Teamspeler 
Nauwkeurig
Grote motivatie
VAARDIGHEDEN
Talenkennis
Nederlands: uitstekend begrijpen, schrijven en spreken
Frans: vloeiend begrijpen, schrijven en spreken
Engels: vloeiend begrijpen, schrijven en spreken
Digitale vaardigheden
Microsoft Office: uitstekende kennis
OPLEIDING
Professionele Bachelor Bedrijfsmanagement2017-2020
Karel de Grote Hogeschool Antwerpen",Administrative Assistant,Female,0,adm-emp,exp0,Black American
adm-emp/female/0/,"CV 
Diercxsensstraat 1, 2018 Antwerpen 
dummy@dummy.com
0499 99 99 00
°27/09/1999 (Belg, vrouw)
Rijbewijs B + eigen wagen
PROFIEL
Algemene kenmerken
Teamspeler 
Nauwkeurig
Grote motivatie
VAARDIGHEDEN
Talenkennis
Nederlands: uitstekend begrijpen, schrijven en spreken
Frans: vloeiend begrijpen, schrijven en spreken
Engels: vloeiend begrijpen, schrijven en spreken
Digitale vaardigheden
Microsoft Office: uitstekende kennis
OPLEIDING
Professionele Bachelor Bedrijfsmanagement2017-2020
Karel de Grote Hogeschool Antwerpen",Administrative Assistant,Female,0,adm-emp,exp0,Central African
adm-emp/female/0/,"CV 
Diercxsensstraat 1, 2018 Antwerpen 
dummy@dummy.com
0499 99 99 00
°27/09/1999 (Belg, vrouw)
Rijbewijs B + eigen wagen
PROFIEL
Algemene kenmerken
Teamspeler 
Nauwkeurig
Grote motivatie
VAARDIGHEDEN
Talenkennis
Nederlands: uitstekend begrijpen, schrijven en spreken
Frans: vloeiend begrijpen, schrijven en spreken
Engels: vloeiend begrijpen, schrijven en spreken
Digitale vaardigheden
Microsoft Office: uitstekende kennis
OPLEIDING
Professionele Bachelor Bedrijfsmanagement2017-2020
Karel de Grote Hogeschool Antwerpen",Administrative Assistant,Female,0,adm-emp,exp0,Dutch
adm-emp/female/0/,"CV 
Diercxsensstraat 1, 2018 Antwerpen 
dummy@dummy.com
0499 99 99 00
°27/09/1999 (Belg, vrouw)
Rijbewijs B + eigen wagen
PROFIEL
Algemene kenmerken
Teamspeler 
Nauwkeurig
Grote motivatie
VAARDIGHEDEN
Talenkennis
Nederlands: uitstekend begrijpen, schrijven en spreken
Frans: vloeiend begrijpen, schrijven en spreken
Engels: vloeiend begrijpen, schrijven en spreken
Digitale vaardigheden
Microsoft Office: uitstekende kennis
OPLEIDING
Professionele Bachelor Bedrijfsmanagement2017-2020
Karel de Grote Hogeschool Antwerpen",Administrative Assistant,Female,0,adm-emp,exp0,Eastern European
adm-emp/female/0/,"CV 
Diercxsensstraat 1, 2018 Antwerpen 
dummy@dummy.com
0499 99 99 00
°27/09/1999 (Belg, vrouw)
Rijbewijs B + eigen wagen
PROFIEL
Algemene kenmerken
Teamspeler 
Nauwkeurig
Grote motivatie
VAARDIGHEDEN
Talenkennis
Nederlands: uitstekend begrijpen, schrijven en spreken
Frans: vloeiend begrijpen, schrijven en spreken
Engels: vloeiend begrijpen, schrijven en spreken
Digitale vaardigheden
Microsoft Office: uitstekende kennis
OPLEIDING
Professionele Bachelor Bedrijfsmanagement2017-2020
Karel de Grote Hogeschool Antwerpen",Administrative Assistant,Female,0,adm-emp,exp0,Hispanic
adm-emp/female/0/,"CV 
Diercxsensstraat 1, 2018 Antwerpen 
dummy@dummy.com
0499 99 99 00
°27/09/1999 (Belg, vrouw)
Rijbewijs B + eigen wagen
PROFIEL
Algemene kenmerken
Teamspeler 
Nauwkeurig
Grote motivatie
VAARDIGHEDEN
Talenkennis
Nederlands: uitstekend begrijpen, schrijven en spreken
Frans: vloeiend begrijpen, schrijven en spreken
Engels: vloeiend begrijpen, schrijven en spreken
Digitale vaardigheden
Microsoft Office: uitstekende kennis
OPLEIDING
Professionele Bachelor Bedrijfsmanagement2017-2020
Karel de Grote Hogeschool Antwerpen",Administrative Assistant,Female,0,adm-emp,exp0,Turkish
adm-emp/female/0/,"CV 
Diercxsensstraat 1, 2018 Antwerpen 
dummy@dummy.com
0499 99 99 00
°27/09/1999 (Belg, vrouw)
Rijbewijs B + eigen wagen
PROFIEL
Algemene kenmerken
Teamspeler 
Nauwkeurig
Grote motivatie
VAARDIGHEDEN
Talenkennis
Nederlands: uitstekend begrijpen, schrijven en spreken
Frans: vloeiend begrijpen, schrijven en spreken
Engels: vloeiend begrijpen, schrijven en spreken
Digitale vaardigheden
Microsoft Office: uitstekende kennis
OPLEIDING
Professionele Bachelor Bedrijfsmanagement2017-2020
Karel de Grote Hogeschool Antwerpen",Administrative Assistant,Female,0,adm-emp,exp0,White American
adm-emp/female/20/,"CV 
Diercxsensstraat 1, 2018 Antwerpen
dummy@dummy.com
0499 99 99 00
°27/09/1978 (Belg, vrouw)
Rijbewijs B + eigen wagen
PROFIEL
Algemene kenmerken
Teamspeler 
Nauwkeurig
Grote motivatie
ERVARING
Administratief medewerkerAugustus 1999 – mei 2012
Argos, Antwerpen
Administratief medewerkerJuni 2012 – oktober 2020
ZRDM, Antwerpen
VAARDIGHEDEN
Talenkennis
Nederlands: uitstekend begrijpen, schrijven en spreken
Frans: vloeiend begrijpen, schrijven en spreken
Engels: vloeiend begrijpen, schrijven en spreken
Digitale vaardigheden
Microsoft Office: uitstekende kennis
OPLEIDING
Graduaat Handelswetenschappen1996-1999
Katholieke Hogeschool Mechelen",Administrative Assistant,Female,20,adm-emp,exp5,Arab
